complex_name,protein_path,ligand_description,protein_sequence
Piperaquine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Piperaquine.sdf,
Fosfestrol,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Fosfestrol.sdf,
Amyl_nitrite,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Amyl_nitrite.sdf,
Valbenazine_Tosylate,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Valbenazine_Tosylate.sdf,
Santonin,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Santonin.sdf,
TRICLABENDAZOLE,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/TRICLABENDAZOLE.sdf,
ZINC000000003742,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/ZINC000000003742.sdf,
Granisetron,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Granisetron.sdf,
Treximet,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Treximet.sdf,
Tolnaftate,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Tolnaftate.sdf,
Aminophylline,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Aminophylline.sdf,
Alosetron,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Alosetron.sdf,
Dexbrompheniramine,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Dexbrompheniramine.sdf,
Bleomycin,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Bleomycin.sdf,
Famciclovir,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Famciclovir.sdf,
Amfepramone,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Amfepramone.sdf,
Homatropine_Methylbromide,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Homatropine_Methylbromide.sdf,
Podofilox,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Podofilox.sdf,
Active_57_IC50_108nM,receptor_ready_5tbm.pdb,ligand_sdf_files_benchmarking/Active_57_IC50_108nM.sdf,
