lig,NMDN-Score,pKd-Score
all_sdf/1406_Nepafenac.sdf,2138.206787109375,3.5095901489257812
all_sdf/0989_ZINC000000000353.sdf,1476.6622314453125,4.44431209564209
all_sdf/1968_Cefoxitin.sdf,823.3626098632812,3.844233512878418
all_sdf/1583_Bretylium.sdf,967.875244140625,4.638122081756592
all_sdf/0744_Triamterene.sdf,941.4830322265625,3.386514902114868
all_sdf/0974_Ceftezole.sdf,924.7127685546875,4.583751201629639
all_sdf/0029_Ximelegatran.sdf,1196.9390869140625,2.3268096446990967
all_sdf/0750_Technetium_TC_99M_medronate.sdf,1014.2908325195312,4.378358840942383
all_sdf/1342_Trolamine_salicylate.sdf,1277.2880859375,5.7740912437438965
all_sdf/0904_Apraclonidine.sdf,1348.648681640625,4.667990207672119
all_sdf/2367_Cromoglicate.sdf,322.62255859375,3.0215797424316406
all_sdf/1979_Oxyphenbutazone.sdf,825.3856811523438,4.567691326141357
all_sdf/2649_Bosutinib.sdf,-inf,5.214421272277832
all_sdf/1907_Efavirenz.sdf,1188.0074462890625,4.950013160705566
all_sdf/1552_ZINC000000001378.sdf,1181.890625,3.8282103538513184
all_sdf/1674_Esomeprazole.sdf,1563.0269775390625,4.950571537017822
all_sdf/1615_Propafenone.sdf,1722.9359130859375,3.8454630374908447
all_sdf/1289_ZINC000000003896.sdf,1718.7744140625,3.220414161682129
all_sdf/0574_Salicylamide.sdf,1215.389892578125,3.650477647781372
all_sdf/2669_Rifamycin_b.sdf,-2159.899169921875,3.172534227371216
all_sdf/0490_Hexobarbital.sdf,1022.8035888671875,4.004847049713135
all_sdf/1545_Altropane.sdf,1245.007080078125,4.144333839416504
all_sdf/1302_Cloperastine.sdf,1131.6259765625,3.22536301612854
all_sdf/1875_Halopredone_acetate.sdf,735.5813598632812,4.030724048614502
all_sdf/0947_Succimer.sdf,930.82861328125,3.8633029460906982
all_sdf/0390_ZINC000000000135.sdf,1488.935302734375,4.371940612792969
