lig,NMDN-Score,pKd-Score
all_sdf/001_Sulodexide.sdf,2154.69921875,5.719820022583008
all_sdf/002_Olprinone.sdf,1909.21826171875,6.396243572235107
all_sdf/003_Naproxen.sdf,1158.3076171875,4.876827716827393
all_sdf/004_Sulfadiazine.sdf,628.7823486328125,4.893770217895508
all_sdf/005_Zolmitriptan.sdf,1400.115478515625,6.472065448760986
all_sdf/006_Ritlecitinib.sdf,1841.7236328125,5.924037933349609
all_sdf/007_Abacavir.sdf,1604.8134765625,5.945009708404541
all_sdf/008_Olanzapine.sdf,-46.75569152832031,5.713025093078613
all_sdf/009_Quercetin.sdf,2426.5244140625,6.430576801300049
all_sdf/010_Temocillin_disodium.sdf,426.21649169921875,7.1618804931640625
all_sdf/011_Amlexanox.sdf,2128.006103515625,5.822682857513428
all_sdf/012_Allopurinol.sdf,1296.07958984375,4.029614448547363
all_sdf/013_Mebendazole.sdf,2192.93994140625,6.074552059173584
all_sdf/014_L_Proline.sdf,632.5153198242188,3.3901586532592773
all_sdf/015_Phenazopyridine.sdf,1598.209228515625,4.423863410949707
all_sdf/016_Potassium_Perchlorate.sdf,-49.32932662963867,2.349602460861206
all_sdf/017_Praziquantel.sdf,798.3255004882812,6.123095512390137
all_sdf/018_Floxuridine.sdf,644.2166748046875,4.285308361053467
all_sdf/019_FENOFIBRIC_ACID.sdf,1124.73876953125,5.419887542724609
all_sdf/020_Anisindione.sdf,586.4754638671875,5.867151737213135
all_sdf/021_Phenyl_Aminosalicylate.sdf,761.2478637695312,5.108006477355957
all_sdf/022_Apomorphine.sdf,1133.650146484375,6.359930992126465
all_sdf/023_Milrinone.sdf,910.9437255859375,6.095953464508057
all_sdf/024_Loxapine.sdf,-38.166786193847656,5.777773857116699
all_sdf/025_Idoxuridine.sdf,999.43994140625,4.525079250335693
all_sdf/026_Sorivudine.sdf,995.6168212890625,5.487521648406982
all_sdf/027_Pilocarpine.sdf,1008.814453125,5.174762725830078
all_sdf/028_Crizotinib.sdf,3248.209716796875,8.07939338684082
